id,date,text,label,has_media,forwarded_from
2,2025-04-04T15:01:47,Срочно требуются 2 человека. Прибыльность от 16 тыс.рублей в день.Удаленка.За подробностями + в ЛС,spam,0,0
3,2025-04-04T15:01:47,"Выходи на доход от 80 долларов в час. Есть несколько свободных места, пишите хочу в личные сообщения",spam,0,0
4,2025-04-04T15:27:55,Здрастуйте. Доход от 500 доларов в неделю. Есть желание попробовать? Пишите старт в личные сообщения,spam,0,0
5,2025-04-04T15:28:13,Требуются 2 человека. Заработок от 16 тыс. рублей в день.Удаленка.Напишите в ЛС!,spam,0,0
6,2025-04-04T15:42:57,"Срочно ищем новых партнеров для УДАЛЕННОГО заработка.
Прибыль каждый день от 100-140$, белый вид дохода
Нужно 1-3 часа в день!
Принимаем как с опытом, так и без.

Возраст от 25 лет!! 

Пишите ""+"" в лс!",spam,0,0
7,2025-04-04T16:44:15,"Срочно ищем новых партнеров для УДАЛЕННОГО заработка.
Прибыль каждый день от 100-140$, белый вид дохода
Нужно 1-3 часа в день!
Принимаем как с опытом, так и без.

Возраст от 25 лет!! 

Пишите ""+"" в лс!",spam,0,0
8,2025-04-04T20:40:38,"Здравствуйте. Хорошая возможность получать 400 долларов в час доступна уже сейчас. Напиши мне интересно расскажу, как начать",spam,0,0
9,2025-04-04T20:40:38,"Нужны люди в команду. Приятный ЗАРАБОТОК от 200 $ в день. Если интересует подробная информация "" + "" в лс",spam,0,0
10,2025-04-04T20:40:38,"Нужны люди в команду. Приятный ЗАРАБОТОК от 200 $ в день. Если интересует подробная информация "" + "" в лс",spam,0,0
11,2025-04-04T20:40:38,"Нужны люди в команду. Приятный ЗАРАБОТОК от 200 $ в день. Если интересует подробная информация "" + "" в лс",spam,0,0
12,2025-04-04T20:40:38,"Доход от $100 в день без риска и серых схем
? Легально, прозрачно, без вложений в казино и сомнительные проекты
? Работает для всех — идеальный вариант для занятых людей 30+
? Ты контролируешь процесс, а деньги капают 24/7",spam,0,0
13,2025-04-04T20:40:38,"Доход от $100 в день без риска и серых схем
? Легально, прозрачно, без вложений в казино и сомнительные проекты
? Работает для всех — идеальный вариант для занятых людей 30+
? Ты контролируешь процесс, а деньги капают 24/7",spam,0,0
14,2025-04-04T20:40:39,"Доход от $100 в день без риска и серых схем
? Легально, прозрачно, без вложений в казино и сомнительные проекты
? Работает для всех — идеальный вариант для занятых людей 30+
? Ты контролируешь процесс, а деньги капают 24/7",spam,0,0
15,2025-04-04T20:40:39,"Нужны люди в команду. Приятный ЗАРАБОТОК от 200 $ в день. Если интересует подробная информация "" + "" в лс",spam,0,0
16,2025-04-04T20:40:39,Требуются 2 человека. Заработок от 16 тыс. рублей в день.Удаленка.Подробности в ЛС.,spam,0,0
17,2025-04-04T21:19:47,"Ищу людей, возьму 2-3 человека. 18+ удаленная деятельность. От 250$ в день. Кому интересно + в ЛС",spam,0,0
18,2025-04-05T16:31:07,"🔤🔤🔤🔤🔤🔤🔤🔤🔤🔤

❗️❗️❗️ТРЕБУЮТСЯ ЛЮДИ❗️❗️❗️
💵Высокая ЗП
✍️Свободный гр@USERNAME_REDACTED ☹️☺️😣часа  в день
😜Забирай – дост@USERNAME_REDACTED – з@USERNAME_REDACTED@USERNAME_REDACTED
🔝Курьер – это легко и выгодно!

🙊🙊😳🙊🙊🙊🙊🙊🙊",spam,0,0
19,2025-04-05T18:36:23,"Предлагаю стабильное сотрудничество с привлекательными условиями! Доход не ограничен, обучение — бесплатно. Все детали в ЛС!",spam,0,0
20,2025-04-06T16:46:26,"Привет, нужны 2 человека ,все с телефона, или  компьютера. От 220 $ в день. Удалённая занятость , пиши + в лс",spam,0,0
24,2025-04-07T14:58:20,"Приветствую. Хочешь выйти на доход 400 долларов в неделю? Пишите в личные сообщение, расскажу детали. Осталось несколько  свободных мест",spam,0,0
25,2025-04-07T14:59:55,👄🥺Загляни ко мне в профиль🥺👄,spam,0,1
26,2025-04-07T15:59:01,Срочно требуются 2 человека. Прибыльность от 16 тыс.рублей в день.Удаленка.Подробности в ЛС,spam,0,0
27,2025-04-07T17:00:19,Нужны 2-3 человека (18+) для удаленной деятельности от 300$ в день. Заинтересованных прошу писать ➕ в личку.,spam,0,0
28,2025-04-07T17:00:19,Нужны 2-3 человека (18+) для удаленной деятельности от 300$ в день. Заинтересованных прошу писать ➕ в личку.,spam,0,0
29,2025-04-07T17:00:19,Нужны 2-3 человека (18+) для удаленной деятельности от 300$ в день. Заинтересованных прошу писать ➕ в личку.,spam,0,0
30,2025-04-07T17:00:19,Нужны 2-3 человека (18+) для удаленной деятельности от 300$ в день. Заинтересованных прошу писать ➕ в личку.,spam,0,0
31,2025-04-07T17:00:19,Ищем активных людей для стабильного дохода! Заработок от 250 долларов в неделю. Осталось 4 свободных места. Возраст от 20 лет. Пишите в личку для подробностей!,spam,0,1
32,2025-04-07T19:33:15,Готов к доходу от $700 в неделю? Уникальные условия: до 10% еженедельно. Мест мало – пишите в личные сообщения,spam,0,1
33,2025-04-07T19:33:15,"Приветствую. Доход от 75 долларов в час, записывайся прямо сейчас, осталось 3 мест. Пишите плюс в личные сообщения, расскажу детали",spam,0,0
34,2025-04-07T19:33:15,"ищу ᴧюдᴇй дᴧя ᴄᴏᴛᴩудничᴇᴄᴛʙᴀ ʙ нᴏʙᴏʍ ᴨᴩᴏᴇᴋᴛᴇ (удᴀᴧᴇннᴏ), ᴏᴨᴧᴀᴛᴀ ВЫСОКАЯ, ᴨиɯиᴛᴇ  + ʙ ᴧᴄ :)",spam,0,1
35,2025-04-07T19:33:15,Выиграл 988кк с нуля в новом боте:,spam,0,1
36,2025-04-07T22:05:03,Получить 14.000$:,spam,0,1
37,2025-04-08T15:26:38,"Здравствуйте. Нужны несколько человек. Доход от 140 долларов в день. Пишите мне в личные плюс, расскажу подробности",spam,0,1
38,2025-04-08T16:18:12,"🔥🅰️🔥🅰️🅱️🔥🔥🔥🔥
🔥  🔥🔥🔥🔥🔥🔥🔥
🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥

⏺💫💫💫💫💫💫

⏺💫💫💫💫💸
       💫  💫💫💫💫

⏺💫🔸💫 💫💫💫💫
        💫  💫💫💫💫

❗️❗️  ❗️❗️  ❗️❗️❗️

🐉🌾🪴🌾 👉 @USERNAME_REDACTED",spam,0,1
39,2025-04-08T16:18:12,"Привет. Выходи на доход от 130 долларов в час. Есть свободные места, пишите хочу в личные сообщения",spam,0,0
40,2025-04-08T16:18:49,"Ищешь возможность заработать в сфере криптовалюты прямо из дома? Всё, что тебе нужно — это телефон и пару часов свободного времени в день. Заработок в этой сфере может быть очень достойным, а гибкий график позволит совмещать работу с личными делами. Пиши мне в личку для подробностей.",spam,0,0
41,2025-04-08T16:32:16,Привет! Требуется несколько людей для выгодного сотрудничества. От 300 $ в день. Пишите + в лс за информацией!,spam,0,0
42,2025-04-08T17:35:30,"Ищешь дополнительный заработок?
От 245$ в день без усилий. За подробностями пишите в лс!",spam,0,0
43,2025-04-08T19:52:00,"🔠🔠🔠🔠🔠🔠🔠🔠
Вoзьму отвeтственных людей для сотрyдничecтвa в сфeрe apбитражa кpиптoвaлют.

Нoвичков готов качественно обyчить c полнoго нyля.
Aбсолютно легaльный доxод, без рисков!
Времени нужно удeлять не бoльшe 1 чaса в сутки, можно с тeлeфoнa.

Подрoбности рaспишу желающим в лс.",spam,0,1
44,2025-04-08T19:52:00,Требуются 2 человека. Заработок  от 900$ в неделю.Удаленный формат сотрудничества. Детали в личных смс.,spam,0,0
45,2025-04-09T00:27:25,Получить 1.000$:,spam,0,1
46,2025-04-09T09:07:05,"Требуются удалённые сотрудники!

Доход от $100 до $150 в день. 

Работайте с телефона, не покидая дома. 

Подходит для дополнительного заработка(25+). 

Напишите (+) в личку!",spam,0,0
47,2025-04-09T19:54:18,"Всем привет! 🙌
Я долго сомневался, где и как лучше сделать права, пока не наткнулся на одну проверенную автошколу.
Они реально делают всё по закону, официально, через свою базу.
Категории любые — мне сделали C+E, всё чётко, никаких вопросов! 🚛🔐
Получил быстро и без заморочек.
Может кому пригодится — пишите, расскажу, куда обращаться 😉",spam,0,0
48,2025-04-09T19:54:18,"🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸

🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸

🔸 🔸🔸🔸🔸

✔️1.Oфopмлeниe вoдитeльcкoгo yдocтoвepeния c нyля.
 -Быcтpo,кaчecтвeннo и oпepaтивнo oткpывaeм пpaвa для вcex кaтeгopий.

✔️2.Boccтaнoвлeниe yтepяннoгo BУ.
 -Пoмoжeм вoccтaнoвить пpaвa yтepянныe или yкpaдeнныe.

✔️3.Boзвpaщeниe и вoccтaнoвлeниe пpaв пocлe лишeния.
 -Индивидyaльный пoдxoд к кaждoмy клиeнтy и cитyaции.

 👑 Пoчeмy имeннo мы?
 🔒-Пoлнaя кoнфидeнциaльнocть вaшиx дaнныx.
🖥 -Пoлнaя пpoвoдкa пo бaзe ГИБДД.
🪪 -Opигинaльныe блaнки и oфициaльнaя peгиcтpaция.
  
❗️Cкидки и Aкции❗️
🫡 -Для yчacтникoв CBO cкидкa.
👍🏻 -Cкидки для пocтoянныx клиeнтoв.
 🙎🏻‍♂️-Пpивeди дpyгa и пoлyчи дeнeжный бoнyc

🔥🔥🔥🔥👉@USERNAME_REDACTED",spam,0,1
49,2025-04-09T19:54:18,"🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸

🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸

🔸 🔸🔸🔸🔸

✔️1.Oфopмлeниe вoдитeльcкoгo yдocтoвepeния c нyля.
 -Быcтpo,кaчecтвeннo и oпepaтивнo oткpывaeм пpaвa для вcex кaтeгopий.

✔️2.Boccтaнoвлeниe yтepяннoгo BУ.
 -Пoмoжeм вoccтaнoвить пpaвa yтepянныe или yкpaдeнныe.

✔️3.Boзвpaщeниe и вoccтaнoвлeниe пpaв пocлe лишeния.
 -Индивидyaльный пoдxoд к кaждoмy клиeнтy и cитyaции.

 👑 Пoчeмy имeннo мы?
 🔒-Пoлнaя кoнфидeнциaльнocть вaшиx дaнныx.
🖥 -Пoлнaя пpoвoдкa пo бaзe ГИБДД.
🪪 -Opигинaльныe блaнки и oфициaльнaя peгиcтpaция.
  
❗️Cкидки и Aкции❗️
🫡 -Для yчacтникoв CBO cкидкa.
👍🏻 -Cкидки для пocтoянныx клиeнтoв.
 🙎🏻‍♂️-Пpивeди дpyгa и пoлyчи дeнeжный бoнyc

🔥🔥🔥🔥👉@USERNAME_REDACTED",spam,0,1
